#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.364000000000263E-06 0.546360000000391E+03  0.274087818161728E+05  0.453520527828833E+05
0.366000000000265E-06 0.549340000000395E+03  0.454165024612895E+05  0.443717335916045E+05
0.368000000000267E-06 0.552320000000398E+03  0.490744202483915E+05  0.417660726410098E+05
0.370000000000269E-06 0.555300000000401E+03  0.236289048615765E+05  0.416328783025743E+05
0.372000000000272E-06 0.558280000000405E+03  0.462505041713780E+05  0.539763084287096E+05
0.374000000000274E-06 0.561260000000408E+03  0.355280401137455E+05  0.489850037669226E+05
0.376000000000276E-06 0.564240000000411E+03  0.419964989590261E+05  0.490296651924035E+05
0.378000000000278E-06 0.567220000000415E+03  0.402160368599722E+05  0.405107422919933E+05
0.380000000000281E-06 0.570200000000418E+03  0.310040952302060E+05  0.438664140638582E+05
0.382000000000283E-06 0.573180000000422E+03  0.299272528494341E+05  0.542344754037313E+05
0.384000000000285E-06 0.576160000000425E+03  0.359277751805941E+05  0.481696036921210E+05
0.386000000000287E-06 0.579140000000428E+03  0.340297384944876E+05  0.377579153424645E+05
0.388000000000290E-06 0.582120000000432E+03  0.328846955376627E+05  0.341006989326395E+05
0.390000000000292E-06 0.585100000000435E+03  0.363893511820111E+05  0.329164717700640E+05
0.392000000000294E-06 0.588080000000439E+03  0.247605695619349E+05  0.306554640864315E+05
0.394000000000297E-06 0.591060000000442E+03  0.290768788755260E+05  0.303892372303345E+05
0.396000000000299E-06 0.594040000000445E+03  0.283299530753408E+05  0.246341137244233E+05
0.398000000000301E-06 0.597020000000449E+03  0.404185349929362E+05  0.359471336958503E+05
0.400000000000303E-06 0.600000000000452E+03  0.360287902270563E+05  0.344149144400544E+05
